"","file","book","sentences"
"1","./books/erb1.txt","The Project Gutenberg EBook of A Princess of Mars, by Edgar Rice Burroughs",1966
"2","./books/erb2.txt","Project Gutenberg's The Land That Time Forgot, by Edgar Rice Burroughs",1510
"3","./books/erb3.txt","The Project Gutenberg EBook of The Lost Continent, by Edgar Rice Burroughs",1593
"4","./books/erb4.txt","The Project Gutenberg EBook of Pellucidar, by Edgar Rice Burroughs",2460
"5","./books/erb5.txt","The Project Gutenberg EBook of The Gods of Mars, by Edgar Rice Burroughs",3413
"6","./books/erb6.txt","The Project Gutenberg EBook of Warlord of Mars, by Edgar Rice Burroughs",1768
"7","./books/erb7.txt","The Project Gutenberg EBook of Thuvia, Maid of Mars, by Edgar Rice Burroughs",2412
"8","./books/erb8.txt","The Project Gutenberg EBook of The Chessmen of Mars, by Edgar Rice Burroughs",3653
"9","./books/erb9.txt","Project Gutenberg's The People that Time Forgot, by Edgar Rice Burroughs",1267
"10","./books/hgw1.txt","",1691
"11","./books/hgw2.txt","The Project Gutenberg EBook of The War of the Worlds, by H. G. Wells",2702
"12","./books/hgw3.txt","The Project Gutenberg EBook of The Island of Doctor Moreau, by H. G. Wells",1729
"13","./books/hgw4.txt","The Project Gutenberg EBook of The Invisible Man, by H. G. Wells",3160
"14","./books/hgw5.txt","The Project Gutenberg EBook of The Red Room, by H. G. Wells",184
"15","./books/hgw6.txt","Project Gutenberg""s When the Sleeper Wakes, by Herbert George Wells",5160
"16","./books/hgw7.txt","The Project Gutenberg EBook of The World Set Free, by Herbert George Wells",2585
"17","./books/hgw8.txt","The Project Gutenberg EBook of The First Men In The Moon, by H. G. Wells",3536
"18","./books/jv1.txt","The Project Gutenberg EBook of Around the World in 80 Days, by Jules Verne",3279
"19","./books/jv2.txt","Project Gutenberg's A Journey to the Centre of the Earth, by Jules Verne",4412
"20","./books/jv3.txt","The Project Gutenberg Etext of 20000 Leagues Under the Seas by Jules",6530
"21","./books/jv4.txt","The Project Gutenberg EBook of All Around the Moon, by Jules Verne",4319
"22","./books/pkd1.txt","The Project Gutenberg EBook of Second Variety, by Philip Kindred Dick",1863
"23","./books/pkd2.txt","The Project Gutenberg EBook of The Hanging Stranger, by Philip K. Dick",655
"24","./books/pkd3.txt","The Project Gutenberg EBook of The Variable Man, by Philip K. Dick",2503
"25","./books/pkd4.txt","The Project Gutenberg EBook of Mr. Spaceship, by Philip K. Dick",1069
